Category,Date,Study,Study Link,Journal,Severe,Severe Significant,Severe Age Adjusted,Severe OR Calculated or Extracted,Fatality,Fatality Significant,Fatality Age Adjusted,Fatality OR Calculated or Extracted,Design,Sample,Study Population,Sample Text,Matches,Entry
Dementia ci,2020-05-31,The Need to Include Assisted Living in Responding to the COVID-19 Pandemic,https://doi.org/10.1016/j.jamda.2020.03.024,Journal of the American Medical Directors Association,,,,,,,,,Other,,"Variability in regulation extends to staffing, 15 nursing services, 16 and most importantly for COVID-19, infection control practices.","Variability in regulation extends to staffing, 15 nursing services, 16 and most importantly for COVID-19, infection control practices.","In addition, persons with dementia have higher hospitalization rates than persons without dementia, even when comparing those who have underlying health conditions including diabetes, chronic kidney disease, and chronic obstructive pulmonary disease.14 Because persons with dementia are at greater risk and typically unable to communicate their medical symptoms, it's important to remain especially vigilant to medical signs of possible COVID-19 in persons with dementia.

In addition, persons with dementia have higher hospitalization rates than persons without dementia, even when comparing those who have underlying health conditions including diabetes, chronic kidney disease, and chronic obstructive pulmonary disease.",2020-04-24
Dementia ci,2020-05-06,Choroid plexus and the blood–cerebrospinal fluid barrier in disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7201396/,Fluids Barriers CNS,,,,,,,,,Other,,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), causing the coronavirus disease 2019 (COVID-19), was recently described by the World Health Organization (WHO) .","In the CP of MS patients, lymphocytes were present in both the vessels and stroma.","Alzheimer´s disease (AD) is the most common neurodegenerative disorder characterized by dementia, synaptic loss and cognitive impairment.",2020-05-12
Dementia ci,2020-05-06,Evidence Supports a Causal Model for Vitamin D in COVID-19 Outcomes,https://doi.org/10.1101/2020.05.01.20087965,medrxiv,,,,,,,,,Other,212.0,"The first death occurred on 9th Jan 2020 in Wuhan, China.",Phillipine Dr Mark Alipio recently published a (preprint) retrospective multicentre study of 212 cases with laboratory-confirmed infection of SARS-CoV-2 from three hospitals in Southern Asian countries.,Vitamin D deficiency is associated with a substantially increased risk of all-cause dementia and Alzheimer disease .,2020-05-12
Dementia ci,2020-05-04,"Achieving Safe, Effective and Compassionate Quarantine or Isolation of Older Adults with Dementia in Nursing Homes.",https://doi.org/10.1016/j.jagp.2020.04.025,The American Journal of Geriatric Psychiatry,,,,,,,,,Other,,We informed her substitute decision-maker of the necessity of quarantine and obtained consent for all measures.,"In keeping with hospital policies, she was restrained at intervals no longer than two hours, and she was monitored and socially engaged by staff every 15 minutes for the first hour and every 30 minutes thereafter.","Mrs X, a 65 year-old woman with frontotemporal dementia was admitted to a tertiary dementia behavioural unit.",2020-05-12
Dementia ci,2020-04-22,Potential effect of natural and anabolizan steroids in elderly patient with COVID-19,https://doi.org/10.1016/j.mehy.2020.109772,Med Hypotheses,,,,,,,,,Other,,"Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2 or COVID-2019) is a novel emerging global health threatening pathogen, originating from Wuhan, China in December 2019 .",,Improvement of dementia with cytotoxic treatment was reported in a case of Alzheimer disease.,2020-05-12
Dementia ci,2020-04-22,Coronavirus Disease (COVID-19) Pandemic: An Overview of Systematic Reviews,https://doi.org/10.1101/2020.04.16.20068213,medrxiv,,,,,,,,,Systematic review,1063.0,"Methods: Nine databases (Medline, EMBASE, Cochrane Library, CINAHL, Web of Sciences, PDQ-Evidence, WHO's Global Research, LILACS and Epistemonikos) were searched from December 1, 2019 to March 24, 2020.","Our search retrieved 1,063 publications, of which 175 were duplicates.","The most common comorbidities were hypertension (17±7, 95% CI 14-22%), diabetes (8±6, 95% CI 6-11%), cardiovascular diseases (5±4, 95% CI 4-7%) and respiratory system diseases (2±0, 95% CI 1-3%).",2020-05-01
Dementia ci,2020-04-18,Anticipating and Mitigating the Impact of COVID-19 Pandemic on Alzheimer's Disease and Related Dementias,https://doi.org/10.1016/j.jagp.2020.04.010,The American Journal of Geriatric Psychiatry,,,,,,,,,Other,48548.0,"We discuss and propose mitigation strategies for: the risk of COVID-19 infection and its associated morbidity and mortality for individuals with ADRD; the impact of COVID-19 on the diagnosis and clinical management of ADRD; consequences of societal responses to COVID-19 in different ADRD care settings; the effect of COVID-19 on caregivers and physicians of individuals with ADRD; mental hygiene, trauma, and stigma in the time of COVID-19; and the potential impact of COVID-19 on ADRD research.","Hospital staff and physicians are highly vulnerable to contracting COVID-19: of the first 48,548 confirmed cases in China (as of February 14, 2020), 1,716 (3.7%) were health care workers and professionals, 2 as were 2,026 (9.0%) of the first 22,512 confirmed cases in Italy (as of March 15, 2020) .","Individuals with dementia are more likely to have cardiovascular disease, diabetes and pneumonia compared to individuals of the same age without dementia.

28 Age, illness, depression, trauma, and dementia are all risk factors for suicide.",2020-04-24
Dementia ci,2020-04-18,One-Year Visiting Care Service Treatment with Korean Medicine for a Solitary Elderly Woman in a Public Health Setting: A Case Report,https://doi.org/10.1016/j.explore.2020.04.004,EXPLORE,,,,,,,,,Other,5.0,"In January 2020, due to the outbreak of coronavirus disease 2019 in Korea, this visiting care service was inevitably discontinued.","Among her five children, her eldest son died of acute myeloid leukemia 20 years ago and the others lived in the city.","In this vulnerable population, neuropsychiatric complications such as senile depression and dementia as well as chronic pain conditions often co-occur.",2020-04-24
Dementia ci,2020-04-17,Dementia care during COVID-19,https://doi.org/10.1016/s0140-6736(20)30755-8,The Lancet,,,,,,,,,Other,,We urge caution and encourage using published guidelines 3 RT-PCR-confirmed COVID-19 from the Diamond Princess cruise ship.,"CT findings in patients with COVID-19, on the other hand, are seen with numerous pathogens and in many non-infectious aetiologies.","As recommended by international dementia experts and Alzheimer's Disease International,10 support for people living with dementia and their carers is needed urgently worldwide.

As recommended by international dementia experts and Alzheimer's Disease International, 10 support for people living with dementia and their carers is needed urgently worldwide.",2020-04-17
Dementia ci,2020-03-26,"COVID-19 clinical characteristics, and sex-specific risk of mortality: Systematic Review and Meta-analysis",https://doi.org/10.1101/2020.03.24.20042903,medrxiv,,,,,,,,,Systematic review,4789.0,"Methods: We reviewed the scientific literature published from January 1, 2019 to March 3, 2020.",A total of 4789 patients with a mean age of 49 years were evaluated.,"The most common comorbidities were respectively hypertension (18.5 %, CI 12.7-24.4), 246 cardiovascular diseases (14.9 %, CI 6.0-23.8), diabetes (10.8 %, CI 8.3-13.3), chronic liver 247 disease (8.1, CI 4.6-11.6) and smoking (8.0%, CI 2.3-13.6) ( Table 3) .",2020-04-03
Dementia ci,2020-03-20,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.17.20037572,medrxiv,,,,,,,,,Systematic review,30.0,"Methods: The PubMed, Web of Science Core Collection, Embase, Cochrane and MedRxiv databases were searched through February 25, 2020.","Results: A total of 30 studies including 53000 patients with COVID-19 were included in this study, the mean age was 49.8 years (95% CI, 47.5-52.2 yrs) and 55.5% were male.","The predictor for disease severity included old age (≥ 50 yrs, odds ratio [OR] = 2.61; 95% CI, 2.29-2.98), male (OR =1.348, 95% CI, 1.195-1.521), smoking (OR =1.734, 95% CI, 1.146-2.626) and any comorbidity (OR = 2.635, 95% CI, 2.098-3.309), especially chronic kidney disease (CKD, OR = 6.017; 95% CI, 2.192-16.514), chronic obstructive pulmonary disease (COPD, OR = 5.323; 95% CI, 2.613-10.847) and cerebrovascular disease (OR = 3.219; 95% CI, 1.486-6.972).

Comorbidities with pooled OR larger than 2 included CKD (6.02; 95% CI, 2.19-16.51; n = 4; I 2 = 0), COPD (5.32; 95% CI, ; n = 6; I 2 = 0%), cerebrovascular diseases (3.19 ; 95% CI, 1.51-6.77; n = 6; I 2 = 0%), tumor (3.21; 95% CI, ; n = 4; I 2 = 30%), diabetes (2.49; 95% CI, ; n = 10; I 2 = 44%) and hypertension (2.06; 95% CI, 1.61-2.62; n = 10; I 2 = 36%) ( Figure 4 , eFigure 5).",2020-03-27
Dementia ci,2020-03-12,Prevalence of comorbidities and its effects in patients infected with SARS-CoV-2: a systematic review and meta-analysis,https://doi.org/10.1016/j.ijid.2020.03.017,Int J Infect Dis,,,,,,,,,Systematic review,576.0,"A systematic search was conducted on studies published from January 1, 2019 to February 25, 2020 in PubMed, EMBASE, and Web of Science databases.","As of February 25, 2020, a total of 1 576 participants were included in our meta-analysis.","The most prevalent comorbidities were hypertension (21.1%, 95% CI: 13.0–27.2%) and diabetes (9.7%, 95% CI: 7.2–12.2%), followed by cardiovascular disease (8.4%, 95% CI: 3.8–13.8%) and respiratory system disease (1.5%, 95% CI: 0.9–2.1%).",2020-05-12
Diabetes ci,2020-08-31,"Diabetes in COVID-19: Prevalence, pathophysiology, prognosis and practical considerations",https://doi.org/10.1016/j.dsx.2020.04.004,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,Retrospective observational,161.0,"Methods PubMed database and Google Scholar were searched using the key terms ‘COVID-19’, ‘SARS-CoV-2’, ‘diabetes’, ‘antidiabetic therapy’ up to April 2, 2020.",A study in 161 patients with COVID-19 in Wuhan found increased time for viral clearance in patients with diabetes .,"the odds ratio (OR) of severe COVID-19 was not significantly higher in patients with diabetes (OR, 2.07; 95% CI, 0.89 to 4.82), unlike hypertension (OR, 2.36; 95% CI, 1.46 to 3.83) and CVD (OR, 3.42; 95% CI, 1.88 to 6.22).

found diabetes to have an OR of 2.85 (95% CI, 1.35 to 6.05; p < 0.001) for in-hospital mortality.

demonstrated a HR of 1.58 (95% CI, 0.80 to 3.13, p = 0.19) for death in patients with diabetes with COVID-19.

showed metformin users had a significantly lower risk of death (HR, 0.46; 95% CI, 0.23 to 0.92), compared with non-metformin users, in patients with coexistent chronic obstructive pulmonary disease and diabetes.

found a significant correlation between COVID-19 severity and diabetes (OR, 2.67, 95% CI; 1.91 to 3.74; p < 0.01).

found that diabetic patients had a hazard ratio (HR) of 2.34 (95% CI, 1.35 to 4.05; p = 0.002) for acute respiratory syndrome (ARDS).

reported diabetes to be associated with 58.0% patient with COVID-19.

However, the CFR was as high as 10.5% in patients with CVD, 7.3% in diabetes and 6.0% in hypertension .",2020-05-12
Diabetes ci,2020-08-31,Comorbidities in COVID-19: Outcomes in hypertensive cohort and controversies with renin angiotensin system blockers,https://doi.org/10.1016/j.dsx.2020.03.016,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,Retrospective observational,187.0,"Methods We have systematically searched the medical database up to March 27, 2020 and retrieved all the published articles in English language related to our topic using MeSH key words.","In a study of 187 patients with COVID-19, Guo et al.","found hypertension to have an odds ratio (OR) of 3.05 (95% CI, 1.57 to 5.92; p < 0.006), diabetes with OR of 2.85 (95% CI, 1.35 to 6.05; p < 0.001), whereas presence of coronary artery disease had an OR of 21.40 (95% CI, 4.64 to 98.76; p < 0.0001) for in-hospital mortality, in an univariate analysis .

found hypertension to have a hazard ratio (HR) of 1.82 (95% CI, 1.13 to 2.95; p ¼ 0.01) for acute respiratory distress syndrome (ARDS) and 1.70 (95% CI, 0.92 to 3.14, p ¼ 0.09) for death.

found hypertension to have a hazard ratio (HR) of 1.82 (95% CI, 1.13 to 2.95; p = 0.01) for acute respiratory distress syndrome (ARDS) and 1.70 (95% CI, 0.92 to 3.14, p = 0.09) for death.

The diabetic patients had a HR of 2.34 (95% CI, 1.35 to 4.05; p ¼ 0.002) for ARDS and HR of 1.58 (95% CI, 0.80 to 3.13, p ¼ 0.19) for death, in a bivariate cox regression analysis .

The diabetic patients had a HR of 2.34 (95% CI, 1.35 to 4.05; p = 0.002) for ARDS and HR of 1.58 (95% CI, 0.80 to 3.13, p = 0.19) for death, in a bivariate cox regression analysis .",2020-04-17
Diabetes ci,2020-07-15,Myocardial injury and COVID-19: Possible mechanisms,https://doi.org/10.1016/j.lfs.2020.117723,Life Sci,,,,,,,,,Cross-sectional,419.0,"in a single center in Wuhan, China examined mortality associated with CVD comorbidity and troponin T (TnT) elevation on admission .","In another case-series of 419 cases with COVID-19 in Shenzhen, China, patients were divided into 36 ICU patients and 383 non-ICU patients.","A meta-analysis of 637 cases of MERS identified the prevalence of CVD, hypertension, and diabetes to be 30%, 50%, and 50% respectively .

of 1527 patients mostly in Wuhan, China indicated the prevalence of hypertension, cardiac and cerebrovascular disease, and diabetes to be 17.1%, 16.4%, and 9.7% respectively amongst patients with COVID-19.",2020-05-12
Diabetes ci,2020-06-30,Supportive Treatment with Tocilizumab for COVID-19: A Systematic Review,https://doi.org/10.1016/j.jcv.2020.104380,Journal of Clinical Virology,,,,,,,,,Systematic review,4.0,"A literature search was conducted on PubMed, Embase, Scopus, and Web of Science for articles published until April 9, 2020 using keywords such as ""COVID-19,"" ""tocilizumab,"" ""interleukin 6,"" or ""IL-6.""",Four patients were identified that received TCZ that were diagnosed with COVID-19 [ ].,"The chronic illnesses of the patient population included hypertension, diabetes mellitus (DM), and stroke.",2020-05-12
Diabetes ci,2020-06-30,Prevalence and severity of corona virus disease 2019 (COVID-19): A systematic review and meta-analysis,https://doi.org/10.1016/j.jcv.2020.104371,Journal of Clinical Virology,,,,,,,,,Systematic review,21.0,"Methods Medline, SinoMed, EMBASE, and Cochrane Library were searched for clinical and epidemiological studies on confirmed cases of COVID-19.","Twenty-one studies were selected, with a total of 47,344 patients (24,419 male and 22,925 females), representing approximately 40 % of the WHO confirmed.","The percentage of severe cases in diabetes and hypertension cases was 44.5 % (95CI 27.0-61.9 %) and (Fig.

The prevalence of diabetes and hypertension comorbidities was 7.7 % (95CI 6.1–9.3 %) and 15.6 % (95CI 12.6–18.6 %), respectively.

The prevalence of diabetes and hypertension comorbidities was 7.7 % (95CI 6.1-9.3 %) and 15.6 % (95CI 12.6-18.6 %), respectively.

The percentage of critical cases in diabetes and hypertension was 44.5 % (95CI 27.0–61.9 %) and 41.7 % (95CI 26.4–56.9 %), respectively.

The percentage of severe cases in diabetes and hypertension cases was 44.5 % (95CI 27.0–61.9 %) and 41.7 % (95CI 26.4–56.9 %), respectively (Fig.",2020-05-12
Diabetes ci,2020-05-31,Outbreak of a new coronavirus: what anaesthetists should know,https://doi.org/10.1016/j.bja.2020.02.008,British Journal of Anaesthesia,,,,,,,,,Other,251.0,"In December 2019, an outbreak of pneumonia of unknown origin developed in Wuhan of Hubei Province, China.","15 In Canada, a final count of 251 cases of SARS was confirmed; 43% of them were healthcare workers, the majority were from Toronto.","14 People with co-morbidities, such as diabetes mellitus and cardiovascular disease, appear to be at higher risk for death.",2020-05-12
Diabetes ci,2020-05-07,Coast-to-Coast Spread of SARS-CoV-2 during the Early Epidemic in the United States,https://doi.org/10.1016/j.cell.2020.04.021,Cell,,,,,,,,,Other,168.0,"Daily COVID-19 cases from international locations were obtained from the European Centre for Disease Prevention and Control via Our World in Data ( International data were accessed on March 19, 2020.","The COVID-19 Outbreak in Connecticut Is Phylogenetically Linked to SARS-CoV-2 from Washington (A) We constructed a maximum-likelihood tree using 168 global SARS-CoV-2 protein coding sequences, including 9 sequences from COVID-19 patients identified in Connecticut from March 6-14, 2020.", : 0.092 (95% CI = 0.05-0.20).,2020-05-12
Diabetes ci,2020-05-06,Is diabetes mellitus associated with mortality and severity of COVID-19? A meta-analysis,https://doi.org/10.1016/j.dsx.2020.04.044,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,Systematic review,1724.0,"Methods We searched the PubMed for case-control studies in English, published between Jan 1 and Apr 22, 2020, that had data on diabetes in patients with COVID-19.","Diabetes was present in 1,724 patients out of total 16,003 patients of COVID-19.","The recalculated pooled odds ratio of association of diabetes mellitus with severe clinical course of COVID-19 was 2.26 (95% CI: 1.78-2.87; p<0.01) (Supplementary Figure 5) .

Diabetes was also associated with severe COVID-19 with a pooled odds ratio of 2.75 (95% CI: 2.09–3.62; p < 0.01).

To study the prevalence of diabetes mellitus in patients with COVID-19, pooled proportion and 95% confidence interval (CI) was taken as the effect size.

Presence of diabetes was found to be significantly associated with severe COVID-19 (pooled odds ratio 2.75 [95% CI: 2.09-3.62; p<0.01]) as well as mortality due to COVID-19 (pooled odds ratio 1.90 [95% CI: 1.37-2.64; p<0.01]).

Results We included 33 studies (16,003 patients) and found diabetes to be significantly associated with mortality of COVID-19 with a pooled odds ratio of 1.90 (95% CI: 1.37–2.64; p < 0.01).

The pooled prevalence of diabetes in patients with COVID-19 was 9.8% (95% CI: 8.7%–10.9%) (after adjusting for heterogeneity).

The secondary outcome of interest was to study the prevalence of diabetes mellitus in patients with COVID-19.",2020-05-12
Diabetes ci,2020-05-05,Risk Factors of the Severity of COVID-19: A Meta-Analysis,https://doi.org/10.1101/2020.04.30.20086744,medrxiv,,,,,,,,,Systematic review,2272.0,"Both of the authors searched through PubMed, Google Scholar, EMBASE, and Cochrane Library using keywords:",We have extracted 2272 patients' information from 10 autonomous studies 14-23 and incorporated them into this research.,"This study found sex (male) (Risk ratio [RR] =1.29, 95% CI, 1.07 to 1.54), hypertension (RR=1.79, 95% CI, 1.57 to 2.04), diabetes (RR=1.57, 95% CI, 1.25 to 1.98), fatigue or myalgia (RR=1.17, 95% CI, 1.02; 1.35), and smoking history (RR=1.71, 95% CI,1.25; 2.35) are potential risk factors for the severity of COVID-19.",2020-05-12
Diabetes ci,2020-05-05,The Utility of rRT-PCR in Diagnosis and Assessment of Case-fatality rates of COVID-19 In the Iranian Population. Positive Test Results are a Marker for Illness Severity,https://doi.org/10.1101/2020.04.29.20085233,medrxiv,,,,,,,,,Case series,96103.0,We conducted data analysis March through April 2020.,96103 patients were tested from 879 hospitals.,"More patients had cardiovascular diseases (10.6% vs. 9.5%, p<0.001) and type 2 diabetes mellitus (10.8% vs. 8.7%, p<0.001) among COVID-19 positive vs. negative patients.",2020-05-12
Diabetes ci,2020-05-02,Modifiable and non-modifiable risk factors for COVID-19: results from UK Biobank,https://doi.org/10.1101/2020.04.28.20083295,medrxiv,,,,,,,,,Case series,1474.0,March 2020 to 14th April 2020.,"Results were available for 2,724 tests conducted on 1,474 individuals.","Among comorbidities, risk factors included longstanding illness (RR 1.65 (95% CI 1.32-2.06)), diabetes, CVD and statin use.

  socioeconomic deprivation (RR 1.26 (95% CI 1.14-1.40)), longstanding illness (RR 1.38 (95% CI 1.09-1.74)), lower HDL-cholesterol (RR 0.82 (95% CI 1.72-0.95)) and higher cystatin C (RR 1.24 (95% CI 1.12-1.37)) ( Table 2) .

Other risk factors were older age (RR 1.15 per 5 years (95% CI 1.08-1.24)), male sex (RR 1.54 (95% CI 1.24-1.91)), black ethnicity (RR 2.07 (95% CI 1.16, 3.71)), socioeconomic deprivation (RR 1.35 per SD increase in Townsend Index (95% CI 1.23-1.49)).

Other risk factors included older age (RR 1.10 per 5 year increase (95% CI 1.02-1.36)), male sex (RR 1.64 (95% CI 1.25-2.14)), black ethnicity (RR 1.86 (95% CI 1.03, 3.36)), All rights reserved.

After adding BMI, blood pressure, FEV1 and walking pace as covariates, modifiable risk factors for COVID-19 admission continued to include smoking (RR 1.38 (95% CI 1.11-1.73)), higher BMI (RR 1.24 (95% CI 1.12-1.38)), use of blood pressure lowering medication as a proxy for hypertension (RR 1.40 95% CI 1.08-1.82) and slow walking pace (RR 1.66 (95% CI 1.20-2.30)).",2020-05-12
Diabetes ci,2020-05-01,"Racial, Economic and Health Inequality and COVID-19 Infection in the United States",https://doi.org/10.1101/2020.04.26.20079756,medrxiv,,,,,,,,,Cross-sectional,1981.0,"Data source: Data sources in this study include, 1) publicly available data from USAfacts and the US Census Bureau for COVID-19 cases and county-level demographic data, 9, 10 2) COVID-19 data reported by each state on their department of health websites, 9 3) State Population by Race/Ethnicity data, 11, 12 and 4) mobility data extracted from Google.","African Americans were more vulnerable to COVID-19 than other ethnic groups (1,981 African American infected cases versus 658 Whites per million).","CI: -0.41, -0.12, q<0.003).",2020-05-12
Diabetes ci,2020-05-01,High frequency of SARS-CoV-2 RNAemia and association with severe disease,https://doi.org/10.1101/2020.04.26.20080101,medrxiv,,,,,,,,,Cross-sectional,7240.0,Methods: An analytical cross-sectional study was performed in a single-center tertiary care institution in northern California and included consecutive inpatients and outpatients with COVID-19 confirmed by detection of SARS-CoV-2 RNA in nasopharyngeal swab specimens.,"A total of 7,240 samples from SHC patients were tested for SARS-CoV-2 corresponding to 4,485 82 outpatients, 2,452 ED patients, and 303 inpatients, and 453 (6.3%) were positive.","Comorbidities were frequent including obesity (37.7%), hypertension (30.6%) and diabetes mellitus (22.4%).",2020-05-12
Diabetes ci,2020-04-29,Type I IFN immunoprofiling in COVID-19 patients,https://doi.org/10.1016/j.jaci.2020.04.029,Journal of Allergy and Clinical Immunology,,,,,,,,,Other,3.0,"Contamines, Haute Savoie, France) in February 2020.","Firstly, we explored three patients issued from the first COVID cluster diagnosed in France (Les 66",Diabetes (n (%)) 1 (20%) 3(14%),2020-05-01
Diabetes ci,2020-04-29,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.",https://doi.org/10.1101/2020.04.24.20077875,medrxiv,,,,,,,,,Retrospective observational,610.0,The clinical data of all patients were collected from the electronic medical records.,A total of 610 COVID-19 patients were enrolled after admission from various centers in the Zheijiang province (Figure 1) .,"We find that, prevalence of type 2 diabetes, higher BMI, presence of cardiovascular or cerebrovascular disease were associated with (all increased in) the covid-19 patients ( Table 1) .",2020-05-12
Diabetes ci,2020-04-28,Marked Up-Regulation of ACE2 in Hearts of Patients with Obstructive Hypertrophic Cardiomyopathy: Implications for SARS-CoV-2-Mediated COVID-19,https://doi.org/10.1016/j.mayocp.2020.04.028,Mayo Clinic Proceedings,,,,,,,,,Other,106.0,"All patients undergoing therapeutic surgical septal myectomy for symptomatic relief of obstructive HCM between January 1, 1999 and December 31, 2010 were eligible for inclusion in this study.",Patients and Methods RNA was extracted from cardiac tissue flash frozen at therapeutic surgical septal myectomy for 106 patients with HCM and from 39 healthy donor hearts.,"A large meta-analysis of over 46,000 patients in China showed the most common co-morbidities were HTN (17±7%, 95% CI 14 -22%), diabetes mellitus (8±6% 95% CI 6-11%), and cardiovascular disease (5±4%, 95% CI 4-7%) 31 .",2020-05-01
Diabetes ci,2020-04-28,Health Insurance Status and Risk Factors for Poor Outcomes With COVID-19 Among U.S. Health Care Workers: A Cross-sectional Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197038/,Ann Intern Med,,,,,,,,,Cross-sectional,,Moderate/severe asthma = Had an asthma attack in past 12 mo or had an emergency department visit for asthma in past 12 mo or used more than 3 canisters or disks of inhalers in past 3 mo.,Moderate/severe asthma = Had an asthma attack in past 12 mo or had an emergency department visit for asthma in past 12 mo or used more than 3 canisters or disks of inhalers in past 3 mo.,"Of these highrisk persons, 275 000 (CI, 154 000 to 396 000), or 7.5% (CI, 4.2% to 10.8%), were uninsured, including 11.4% (CI, 4.6% to 18.2%) of those with diabetes and 20.8% (CI, 13.8% to 27.8%) of those with chronic lung disease other than asthma.",2020-05-12
Diabetes ci,2020-04-28,Association of Digestive Symptoms and Hospitalization in Patients with SARS-CoV-2 Infection,https://doi.org/10.1101/2020.04.23.20076935,medrxiv,,,,,,,,,Other,2.0,"Methods: Following expedited approval from our Institutional Review Board, we analyzed retrospectively collected data from consecutive patients with confirmed COVID-19 based on a positive polymerase chain reaction testing at our institution from March 03, 2020 to April 7, 2020.",Respiratory viral co-infection was found in 14 of 146 (9.1%) tested patients; of whom two patients were hospitalized and three patients had digestive symptoms.,"Overall, a higher prevalence of males, hypertension, and diabetes mellitus were seen in patients who were hospitalized (P<0.05).

(adjusted OR 4.39, 95% CI: 1.61-11.4, P = 0.005).",2020-05-01
Diabetes ci,2020-04-28,"Clinical determinants for fatality of 44,672 patients with COVID-19",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7187660/,Crit Care,,,,,,,,,Other,,"In the study, we re-analyzed the largest confirmed case series reported publicly by the Chinese center for disease control and prevention (44,672 laboratory confirmed cases updated through February 11, 2020, ), to explore the clinical risk factors associated with death.",,"Furthermore, cardiovascular disease (RR = 6.75, 95%CI = 5.40–8.43, p < 0.001), hypertension (HR = 4.48, 95%CI = 3.69–5.45, p < 0.001), diabetes (RR = 4.43, 95%CI = 3.49–5.61, p < 0.001), respiratory disease (RR = 3.43, 95%CI = 2.42–4.87, p < 0.001), and cancers (RR = 2.926, 95%CI = 1.34–6.41, p = 0.006) were the risk factors for fatality of patients with COVID-19.",2020-05-01
Diabetes ci,2020-04-25,COVID-19 Fatality and Comorbidity Risk Factors among Confirmed Patients in Mexico,https://doi.org/10.1101/2020.04.21.20074591,medrxiv,,,,,,,,,Other,7497.0,"In this paper we estimate fatality risks based on survival analysis methods, calculated from individual-level data on symptomatic patients confirmed with COVID-19 recently released by the Mexican Ministry of Health.","Our analysis is based on 7,497 patients who tested positive for COVID-19 in Mexico, a subset of a larger dataset of 49,167 patients with COVID-19 related symptoms who sought attention in medical units and were tested with positive, negative (29,301 cases) and pending (12,369 cases) results.","In contrast, high blood pressure increases the estimated hazard by 38% (HR=1.378, 95% CI: 1.086-1.749), immune suppression by 70% (HR=1.696, 95% CI: 1.148-2.505), diabetes by 73% (HR=1.730, 95% CI: 36.0-120.2), COPD by 77% (HR=1.770, 95% CI: 1.269-2.469), obesity by 78% (HR=1.776, 95% CI: 1.415-2.231), and chronic liver disease by 168% (HR=2.679, 95% CI: 1.789-4.014).",2020-05-01
Diabetes ci,2020-04-23,Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis,https://doi.org/10.1016/j.jinf.2020.04.021,Journal of Infection,,,,,,,,,Systematic review,13.0,"Methods The data of COVID-19 patients until March 20, 2020 were retrieved from four databases.","Results Thirteen studies were included in Meta-analysis, including a total number of 3027 patients with SARS-CoV-2 infection.","The proportion of diabetes, cardiovascular disease and respiratory disease was statistically significant higher in critical/mortal group compared to the non-critical group [diabetes:0R = 3.68, 95% CI (2.68, 5.03), P < 0.00001;cardiovascular disease: OR = 5.19, 95% CI (3.25, 8.29) , P < 0.00001; respiratory disease: OR = 5.15, 95% CI (2.51, 10.57), P < 0.00001]( Figure 3 ).

The proportion of underlying diseases such as hypertension, diabetes, cardiovascular disease, and respiratory disease were statistically significant higher in critical/mortal patients compared to the non-critical patients (diabetes: OR=3.68, 95% CI (2.68, 5.03), P < 0.00001; hypertension: OR = 2.72, 95% CI (1.60,4.64), P = 0.0002; cardiovascular disease: OR = 5.19, 95% CI(3.25, 8.29), P < 0.00001; respiratory disease: OR = 5.15, 95% CI(2.51, 10.57), P < 0.00001).",2020-05-01
Diabetes ci,2020-04-22,Coronavirus Disease (COVID-19) Pandemic: An Overview of Systematic Reviews,https://doi.org/10.1101/2020.04.16.20068213,medrxiv,,,,,,,,,Systematic review,1063.0,"Methods: Nine databases (Medline, EMBASE, Cochrane Library, CINAHL, Web of Sciences, PDQ-Evidence, WHO's Global Research, LILACS and Epistemonikos) were searched from December 1, 2019 to March 24, 2020.","Our search retrieved 1,063 publications, of which 175 were duplicates.","The most common comorbidities were hypertension (17±7, 95% CI 14-22%), diabetes (8±6, 95% CI 6-11%), cardiovascular diseases (5±4, 95% CI 4-7%) and respiratory system diseases (2±0, 95% CI 1-3%).

There was a higher likelihood that patients with severe disease had hypertension (OR 2.36, 95% CI: 1.46-3.83), respiratory disease (OR 2.46, 95% CI: 1.76-3.44), or cardiovascular disease (OR 3.42, 95% CI: 1.88-6.22), compared with patients with non-severe disease.

The most prevalent comorbidities among confirmed cases of COVID-19 were hypertension (17.1%), cardiocerebrovascular disease (16.4%) and diabetes (9.7%).",2020-05-01
